ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
10/1/2017,611,251,9,38,0,5.82999992370605,0.509999990463257,2.67000007629395
10/2/2017,711,215,3,7,0,5.40000009536743,0.0199999995529652,0.560000002384186
10/3/2017,635,278,19,19,0,6.94999980926514,1.0900000333786,1.46000003814697
10/4/2017,816,178,8,1,0,4.21000003814697,0.280000001192093,0.0500000007450581
10/5/2017,789,232,6,32,0,2.86999988555908,0.28999999165535,2.40000009536743
10/6/2017,781,220,12,8,0,3.16000008583069,0.600000023841858,0.569999992847443
10/7/2017,713,246,38,46,0,5.73999977111816,1.50999999046326,3.16000008583069
