Date,StartTime,Duration,Activity,ActivityType,LogType,Steps,Distance,ElevationGain,Calories,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,AverageHeartRate,OutOfRangeHeartRateMinutes,FatBurnHeartRateMinutes,CardioHeartRateMinutes,PeakHeartRateMinutes
11/22/2017,18:28:13,1586000,Walk,90013,auto_detected,2582,0,21.336,202,0,1,3,22,105,0,26,0,0
11/24/2017,11:01:52,1331000,Walk,90013,auto_detected,2125,0,0,173,0,0,1,22,102,0,22,1,0
11/25/2017,11:27:05,1740000,Walk,90013,auto_detected,1901,0,3.048,180,0,4,17,8,98,2,27,0,0
11/25/2017,14:16:51,1485000,Walk,90013,auto_detected,1612,0,21.336,161,1,3,9,11,102,1,24,0,0
11/25/2017,18:02:05,1126000,Walk,90013,auto_detected,1646,0,0,132,0,0,5,13,104,0,18,0,0
11/27/2017,8:00:45,1331000,Walk,90013,auto_detected,2170,0,12.192,167,2,0,2,18,103,4,18,0,0
11/28/2017,15:24:29,922000,Walk,90013,auto_detected,1541,0,3.048,124,0,0,1,14,110,0,15,0,0
11/28/2017,21:11:42,1741000,Walk,90013,auto_detected,3074,0,30.48,234,0,1,2,26,109,2,27,0,0
11/29/2017,7:41:26,1229000,Walk,90013,auto_detected,2016,0,9.144,151,0,1,1,18,100,2,18,0,0
11/29/2017,21:18:43,1280000,Walk,90013,auto_detected,1848,0,9.144,151,0,2,5,15,98,2,20,0,0
